pair,dir,t_in,t_out,entry,sl,tp,exit,reason,lots,risk_pct,risk_usd,pips,pnl,spread_cost,slip_cost,commission,equity_at_entry,hold_h
USDJPY,1,2024-01-25 16:08:00+00:00,2024-01-30 00:25:00+00:00,147.63400000000001,147.24280823933498,148.4163835213301,147.24080823933497,SL,0.02,2.315366361696582,5.722075676799478,-39.319176066504724,-5.4665746462880795,0.1354701491526342,0.05418805966105368,0.14,228.88302707197911,104.28333333333333
USDJPY,1,2024-01-30 03:01:00+00:00,2024-01-30 07:14:00+00:00,147.4795,147.2504080826487,147.93768383470257,147.2484080826487,SL,0.03,2.440613886534976,4.773537029840336,-23.109191735130707,-4.910827925602685,0.20341810217691272,0.08136724087076509,0.21,190.94148119361344,4.216666666666667
USDCHF,1,2024-01-30 09:23:00+00:00,2024-01-30 14:05:00+00:00,0.86329,0.8618151213680686,0.8662397572638627,0.8617951213680686,SL,0.02,1.8367288933205623,4.650766331700269,-14.948786319314289,-3.603213131002164,0.25483904597529106,0.09266874399101115,0.14,186.03065326801075,4.7
AUDUSD,-1,2024-01-30 04:40:00+00:00,2024-01-30 15:06:00+00:00,0.66079,0.6619509843933877,0.6584680312132246,0.6584680312132246,TP,0.04,2.4321260862336596,4.773537029840336,23.219687867753745,9.0078751471015,0.4,0.16000000000000003,0.28,190.94148119361344,10.433333333333334
USDJPY,1,2024-01-30 16:08:00+00:00,2024-01-30 19:37:00+00:00,147.90050000000002,147.59497575639676,148.51154848720654,147.59297575639675,SL,0.02,2.158161660899185,4.785882882102752,-30.752424360326813,-4.298528789331585,0.1352260472412196,0.05409041889648784,0.14,191.43531528411006,3.4833333333333334
AUDUSD,-1,2024-01-31 00:30:00+00:00,2024-01-31 02:04:00+00:00,0.659255,0.6606008778675375,0.6565632442649251,0.6565632442649251,TP,0.03,2.1575841277604884,4.678419662369461,26.917557350749632,7.86526720522489,0.33000000000001345,0.12,0.21,187.13678649477848,1.5666666666666667
GBPUSD,-1,2024-01-31 10:03:00+00:00,2024-01-31 12:14:00+00:00,1.266825,1.2687857642819698,1.2629034714360607,1.2688057642819697,SL,0.02,2.0110191095588297,4.875051342500083,-19.807642819695825,-4.101528563939165,0.2,0.08000000000000002,0.14,195.00205370000336,2.183333333333333
USDCHF,1,2024-01-31 02:01:00+00:00,2024-01-31 13:41:00+00:00,0.8626,0.8611727283847419,0.8654545432305162,0.8611527283847419,SL,0.02,1.768349089818376,4.678419662369461,-14.4727161525815,-3.4956030958918385,0.23185717597959657,0.09274287039183864,0.14,187.13678649477848,11.666666666666666
AUDUSD,-1,2024-01-31 17:16:00+00:00,2024-01-31 19:40:00+00:00,0.6594249999999999,0.6612850399243567,0.6557049201512863,0.6613050399243567,SL,0.02,1.9850491695816568,4.685123051004308,-18.800399243568133,-3.900079848713627,0.220000000000109,0.08000000000000002,0.14,187.40492204017235,2.4
NZDUSD,-1,2024-01-31 17:15:00+00:00,2024-01-31 19:41:00+00:00,0.6140500000000001,0.6159659408016285,0.6102181183967432,0.6159859408016285,SL,0.02,2.044707023455568,4.685123051004308,-19.359408016283997,-4.011881603256799,0.24999999999986144,0.08000000000000002,0.14,187.40492204017235,2.433333333333333
USDCAD,1,2024-01-31 21:01:00+00:00,2024-02-01 15:07:00+00:00,1.3445900000000002,1.3415731804461315,1.3506236391077375,1.3415531804461316,SL,0.01,1.2500058237938194,4.487324014705048,-30.36819553868586,-2.3285468833388507,0.07809071910398503,0.02974884537293896,0.07,179.49296058820192,18.1
USDCHF,1,2024-02-01 00:01:00+00:00,2024-02-01 16:08:00+00:00,0.862705,0.8596781581315189,0.8687586837369623,0.8596581581315189,SL,0.01,1.954699476377833,4.487324014705048,-30.468418684811425,-3.601730856412264,0.1159144782979118,0.04636579131916472,0.07,179.49296058820192,16.116666666666667
EURUSD,-1,2024-02-02 01:02:00+00:00,2024-02-02 08:14:00+00:00,1.0871050000000002,1.0890648295436463,1.0831853409127081,1.0890848295436462,SL,0.02,2.2583535947727844,4.33906707121127,-19.7982954364595,-4.0996590872919,0.2,0.08000000000000002,0.14,173.5626828484508,7.2
NZDUSD,-1,2024-02-02 08:57:00+00:00,2024-02-02 10:05:00+00:00,0.6144200000000001,0.615806900749978,0.6116461985000443,0.615826900749978,SL,0.03,2.4552271979979223,4.236575594028972,-14.069007499779573,-4.430702249933872,0.33000000000001345,0.12,0.21,169.4630237611589,1.1333333333333333
USDJPY,1,2024-02-01 18:02:00+00:00,2024-02-02 13:31:00+00:00,146.42200000000003,145.91074850511427,147.44450298977154,147.44450298977154,TP,0.01,2.0117402334778776,4.33906707121127,102.25029897715103,6.913260642331823,0.06829574790673532,0.027318299162694126,0.07,173.5626828484508,19.483333333333334
AUDUSD,-1,2024-02-02 14:01:00+00:00,2024-02-04 23:13:00+00:00,0.65393,0.6560616223705634,0.6496667552588732,0.6496667552588732,TP,0.02,2.4794151078098214,4.298639553838922,42.63244741126826,8.386489482253651,0.2,0.08000000000000002,0.14,171.94558215355687,57.2
NZDUSD,-1,2024-02-02 14:01:00+00:00,2024-02-04 23:13:00+00:00,0.6090450000000001,0.61098317353315,0.6051686529337001,0.6051686529337001,TP,0.02,2.2544034093520104,4.298639553838922,38.76347066299912,7.612694132599825,0.22999999999995246,0.08000000000000002,0.14,171.94558215355687,57.2
USDJPY,1,2024-02-05 08:01:00+00:00,2024-02-05 11:32:00+00:00,148.52500000000003,148.32191006648856,148.93117986702302,148.31991006648855,SL,0.03,2.1826286715196894,4.698619144210258,-20.508993351148774,-4.352533583803825,0.20198619760982994,0.08079447904393199,0.21,187.94476576841032,3.5166666666666666
USDCAD,1,2024-02-05 08:01:00+00:00,2024-02-05 13:00:00+00:00,1.3479800000000002,1.347047913564111,1.3498441728717787,1.3498441728717787,TP,0.06,2.207464634699902,4.698619144210258,18.641728717785355,7.877628474214166,0.4451104615795486,0.17804418463181945,0.42,187.94476576841032,4.983333333333333
USDJPY,1,2024-02-05 13:01:00+00:00,2024-02-05 14:35:00+00:00,148.6725,148.4474248347354,149.12265033052927,148.44542483473538,SL,0.03,2.3720168338796697,4.786746516470516,-22.707516526463678,-4.7920544875071736,0.20178580436866264,0.08071432174746507,0.21,191.46986065882066,1.5666666666666667
